type,rating
tv,2.73
tv,2.73
tv,2.73
tv,2.73
tv,2.73
tv,2.73
tv,2.72
tv,2.72
tv,2.72
tv,2.72
tv,2.72
tv,2.71
tv,2.71
tv,2.71
tv,2.7
tv,2.69
tv,2.68
tv,2.68
tv,2.68
tv,2.68
tv,2.67
tv,2.67
tv,2.67
tv,2.67
tv,2.67
tv,2.66
tv,2.66
tv,2.66
tv,2.66
tv,2.65
tv,2.65
tv,2.65
tv,2.64
tv,2.63
tv,2.63
tv,2.63
tv,2.63
tv,2.62
tv,2.62
tv,2.62
tv,2.61
tv,2.61
tv,2.6
tv,2.6
tv,2.6
tv,2.58
tv,2.58
tv,2.57
tv,2.56
tv,2.56
tv,2.55
tv,2.55
tv,2.53
tv,2.52
tv,2.52
tv,2.51
tv,2.5
tv,2.5
tv,2.5
tv,2.49
tv,2.48
tv,2.45
tv,2.44
tv,2.44
tv,2.43
tv,2.43
tv,2.42
tv,2.42
tv,2.41
tv,2.41
tv,2.41
tv,2.41
tv,2.4
tv,2.4
movie,2.39
tv,2.38
tv,2.37
tv,2.37
tv,2.36
tv,2.36
tv,2.35
tv,2.35
tv,2.34
tv,2.34
tv,2.34
tv,2.33
tv,2.32
tv,2.3
tv,2.3
tv,2.28
tv,2.27
tv,2.25
tv,2.17
movie,2.15
tv,2.13
tv,2.11
tv,2.11
tv,2.08
tv,2.06
tv,2.02
tv,1.93
tv,1.92
movie,1.77
tv,1.71
tv,1.3
